14.80000019	4.5	112.9000015	7.22	8
15.2	6	126.5	9.76	3
18.9	7.1	56.9	16.04	1
19.5	9.3	117.8	18.68	0
22.4	9.8	123	22.74	0
23.6	12.8	160.3	25.51	0
26.3	15.2	158.8	23.5	0
27.7	16.4	129.6	21.94	0
27	15	187.8	17.57	0
19.7	11.5	173.8	9.77	0
17.8	7.8	95	8.04	2
16.3	9	138.7	5.23	0
14.9	6.8	175	6.82	0
15.5	5.7	69.5	10.82	4
18.6	5.3	27.2	17.6	1
17.9	9.7	101.7	17.8	0
19.3	11.1	116.2	21.24	0
22	13.6	213.1	21.58	0
24.1	14.3	159.8	25.88	0
25.4	13.6	157	24.82	0
27.2	11	176.3	19.64	0
22.5	10.8	150.5	12.45	0
19.7	9.5	62.6	7.23	0
16.5	1.6	17.7	8.52	16
16.2	1.9	41.5	9.24	14
17.7	5.3	98.1	11.6	6
18.9	6.7	73	17.52	2
16.9	8	106.6	18.38	0
23.1	10.9	134.9	24.24	0
24.5	13.3	119	28.29	0
29.7	15.6	124	27.43	0
27	16.1	119.4	21.99	0
26	11.7	127.1	19.74	0
25	11.6	181.9	13.56	0
17.9	9.8	187	7.18	0
16.6	10.7	293.8	4.83	0
15.5	3.5	155.4	8.18	6
18	8.9	47.2	11.73	0
20.6	6.1	36.8	17.04	0
18.5	8.5	151.4	20.42	0
24.8	11	124.7	26.71	0
24.6	13.5	116.8	25.95	0
28.6	15.2	212	27.25	0
28.1	15.3	191.9	24.93	0
26.8	14.5	159.2	19.21	0
21.6	11.6	317.8	12.19	0
17.9	7	120.5	10.19	1
14.7	5.5	100.6	6.16	3
15	2.6	84.3	8.98	10
14.3	3.4	133.3	10.87	5
16.8	8.3	176	14.04	0
19.3	6.9	53.1	20.91	0
24.2	8.3	128	28.21	0
24.1	12.9	111.3	28.41	0
27.2	14.8	214.9	27.72	0
27.9	14.7	271.3	24.67	0
25.3	14.2	265.6	19.14	0
20.1	9	118.2	12.63	0
17.4	6.4	71.3	8.88	2
16.6	4.5	45.9	7.58	10
14.6	1.2	44.5	7.95	17
17.2	1.9	25.5	10.81	7
19.1	7.2	22.5	15.48	0
19.8	8.2	75.2	18.62	0
23.7	9.9	50.5	22.96	0
22	12.5	51.3	25.88	0
25.9	15.3	0	26.34	0
26.4	15	26.4	24.14	0
24	11.7	42.3	18.36	0
19.1	8.9	83.1	12.63	0
18.9	8.3	28.6	8.68	0
16.2	6.6	80.6	6.73	4
15.9	1.7	46.1	7.95	15
17.3	3.5	44.5	10.81	11
18.5	6.2	52	15.48	4
18.2	7	126.9	18.62	0
19.9	10	83.3	22.96	0
24.5	12.4	17.8	25.88	0
27.9	13.4	2	26.34	0
27	13.5	8.4	24.14	0
22.5	11.7	107.7	18.36	0
19.4	8.9	180	12.63	0
17.1	6.2	184.1	8.68	4
15.5	6.5	33.6	6.73	0
15	3.9	111	7.95	15
15.3	3.4	146.6	10.81	7
19.7	8	21.8	15.48	0
18.8	6	50.2	18.62	3
19.4	10.6	183.3	22.96	0
26.1	12.8	2.6	25.88	0
23.6	15.4	5.1	26.34	0
24.7	15.1	5.4	24.14	0
23.7	10.4	6.9	18.36	0
22.1	12.8	64.9	12.63	0
19.5	8.3	97.9	8.68	0
16.6	6.4	28.8	6.73	2
15.5	4.9	105.5	7.95	6
16.9	6.5	108.9	10.81	3
19.1	6.7	48.5	15.48	3
21	8.4	74.1	18.62	0
22.7	12.7	11.5	22.96	0
23.8	13.5	2.6	25.88	0
26.2	16	0.9	26.34	0
27.9	15.4	0.4	24.14	0
23.6	12.4	29.5	18.36	0
25	12	52.6	12.63	0
19.5	11.6	164.3	8.68	0
16.1	9.2	200	6.73	0
15.1	8	340.5	7.95	0
14.4	3.9	154.6	10.81	7
18.1	7.1	82.8	15.48	0
19.9	8.9	29.2	18.62	0
20.3	10.6	116.9	22.96	0
26.6	13.6	0	25.88	0
25.8	14.8	5.9	26.34	0
26.2	14.2	4.7	24.14	0
25.3	12.1	39.7	18.36	0
21.9	9.4	52	12.63	0
17.3	6.7	109.7	8.68	0
15.2	7.2	205.3	6.73	1
15.2	5.7	146.2	7.95	3
17.7	7.1	8.5	10.81	0
24.3	6.3	0	15.48	0
22.9	10.9	52.2	18.62	0
21.6	11.9	86.1	22.96	0
21.7	13.4	64.3	25.88	0
25.7	15.2	23.2	26.34	0
25.3	15.5	25.8	24.14	0
26.4	14.3	0.8	18.36	0
24.8	12.5	108.7	12.63	0
18.6	10.9	422.4	8.68	0
16.2	8	178.3	6.73	1
15	4.5	101	7.947720051	7
15.69999981	5.5	42.20000076	10.813941	5
17.70000076	6.599999905	35.29999924	15.47762012	3
18.60000038	8	146.6000061	18.61825371	1
20.70000076	10.10000038	76.5	22.95536423	0
23.60000038	12.69999981	39.40000153	25.8780899	0
26	15.10000038	3.799999952	26.34291077	0
27.60000038	14.19999981	0	16.182024	0
24.70000076	15.10000038	67	13.98933315	0
21.5	8.899999619	18.70000076	9.740891457	0
18.89999962	7.099999905	60.40000153	10.42721558	3
16.29999924	0.699999988	67.59999847	8.559864044	7
14.80000019	4.5	112.9000015	7.22	8
15.2	6	126.5	9.76	3
18.9	7.1	56.9	16.04	1
19.5	9.3	117.8	18.68	0
22.4	9.8	123	22.74	0
23.6	12.8	160.3	25.51	0
26.3	15.2	158.8	23.5	0
27.7	16.4	129.6	21.94	0
27	15	187.8	17.57	0
19.7	11.5	173.8	9.77	0
17.8	7.8	95	8.04	2
16.3	9	138.7	5.23	0

