StandAge	Value	CV	nVariable	nSite
5.9166666667	16.84	0.1	3	5
6.9166666667	18.30179	0.1	3	5
9.8333333333	0.847658503	0.3	2	1
9.9166666667	0.737747843	0.3	2	1
10	0.992710358	0.3	2	1
10.0833333333	0.944788862	0.3	2	1
10.1666666667	0.956967891	0.3	2	1
10.25	1.186654041	0.3	2	1
10.3333333333	0.878068407	0.3	2	1
10.4166666667	0.599183145	0.3	2	1
10.5	0.623953504	0.3	2	1
10.5833333333	0.286150757	0.3	2	1
10.6666666667	0.133312986	0.3	2	1
10.75	0.32896432	0.3	2	1
10.8333333333	0.180843415	0.3	2	1
10.9166666667	0.340660518	0.3	2	1
11	0.294041174	0.3	2	1
11.0833333333	0.778452035	0.3	2	1
11.1666666667	0.62369441	0.3	2	1
11.25	1.240924944	0.3	2	1
11.3333333333	0.993666664	0.3	2	1
11.4166666667	0.820465384	0.3	2	1
11.5	0.756262721	0.3	2	1
11.5833333333	0.351345459	0.3	2	1
11.6666666667	0.116307945	0.3	2	1
11.75	0.099984746	0.3	2	1
11.8333333333	0.345863776	0.3	2	1
11.9166666667	0.475154181	0.3	2	1
12	0.672328986	0.3	2	1
12.0833333333	0.618098843	0.3	2	1
12.1666666667	0.53635273	0.3	2	1
12.25	0.822006699	0.3	2	1
12.3333333333	0.568653791	0.3	2	1
12.4166666667	0.191314672	0.3	2	1
12.5	-2.27E-02	0.3	2	1
12.5833333333	-0.162257532	0.3	2	1
12.6666666667	-0.149795398	0.3	2	1
12.75	-0.12432954	0.3	2	1
12.8333333333	0.180473282	0.3	2	1
12.9166666667	0.355578271	0.3	2	1

